question,end_date,volume,liquidity,num_outcomes,price_yes,prob_yes,price_no,prob_no,price_nrg,prob_nrg,price_furia,prob_furia,price_liquid,prob_liquid,price_themongolz,prob_themongolz
Netanyahu out by March 31?,"Mar 31, 2026",57909225.67802482,2010385.34644,2,0.0115,1.1%,0.9885,98.9%,,,,,,,,
Will the Iranian regime fall by March 31?,"Mar 31, 2026",44834433.646649,1589512.14193,2,0.0180,1.8%,0.9820,98.2%,,,,,,,,
Will Oprah Winfrey win the 2028 Democratic presidential nomination?,"Nov 07, 2028",41725148.399165794,1053487.64243,2,0.0095,0.9%,0.9905,99.1%,,,,,,,,
Will Andrew Yang win the 2028 Democratic presidential nomination?,"Nov 07, 2028",38832433.950428985,1361282.38362,2,0.0085,0.9%,0.9915,99.2%,,,,,,,,
Will Phil Murphy win the 2028 Democratic presidential nomination?,"Nov 07, 2028",31903575.935110908,1361090.77362,2,0.0095,0.9%,0.9905,99.1%,,,,,,,,
Will Kim Kardashian win the 2028 Democratic presidential nomination?,"Nov 07, 2028",28238783.928316075,1298110.35182,2,0.0085,0.9%,0.9915,99.2%,,,,,,,,
Will Byron Donalds win the 2028 Republican presidential nomination?,"Nov 07, 2028",27367266.07320193,834790.48482,2,0.0045,0.4%,0.9955,99.6%,,,,,,,,
Will Katie Britt win the 2028 Republican presidential nomination?,"Nov 07, 2028",23641142.396341763,612030.95604,2,0.0085,0.9%,0.9915,99.2%,,,,,,,,
"Will Bitcoin reach $150,000 in March?","Apr 01, 2026",20777565.004224986,2577780.50926,2,0.0015,0.1%,0.9985,99.9%,,,,,,,,
US x Iran ceasefire by March 31?,N/A,17297096.454575036,354608.4226,2,0.1150,11.5%,0.8850,88.5%,,,,,,,,
Will LMP – Hungary’s Green Party (LMP) win the most seats in the next Hungarian parliamentary election?,"Apr 12, 2026",14172138.263399104,26584.42028,2,0.0005,0.1%,0.9995,100.0%,,,,,,,,
Will Ted Cruz win the 2028 Republican presidential nomination?,"Nov 07, 2028",12673460.071951922,727548.11772,2,0.0105,1.1%,0.9895,99.0%,,,,,,,,
Will Israel launch a major ground offensive in Lebanon by March 31?,"Mar 31, 2026",7852816.406642999,370255.77651,2,0.9830,98.3%,0.0170,1.7%,,,,,,,,
"Will Bitcoin dip to $65,000 in March?","Apr 01, 2026",6702482.486960982,105565.08281,2,0.5935,59.4%,0.4065,40.6%,,,,,,,,
Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,"Apr 29, 2026",5789297.246470718,1319830.83804,2,0.0045,0.4%,0.9955,99.6%,,,,,,,,
Will Real Madrid CF win on 2026-03-22?,"Mar 22, 2026",2385475.4240549863,1092340.9963,2,0.4650,46.5%,0.5350,53.5%,,,,,,,,
US x Iran ceasefire by April 15?,"Apr 15, 2026",2267232.593166991,96619.4605,2,0.2950,29.5%,0.7050,70.5%,,,,,,,,
Counter-Strike: NRG vs FURIA (BO3) - BLAST Open Rotterdam Group A,"Mar 22, 2026",1499108.3719080002,333373.80692,2,,,,,0.0005,0.1%,0.9995,100.0%,,,,
Will Club Atlético de Madrid win on 2026-03-22?,"Mar 22, 2026",1441604.4895270022,971048.0528,2,0.2850,28.5%,0.7150,71.5%,,,,,,,,
Counter-Strike: Liquid vs TheMongolz (BO3) - BLAST Open Rotterdam Group B,"Mar 22, 2026",1372852.1939340013,583909.90239,2,,,,,,,,,0.0005,0.1%,0.9995,100.0%
